[37, 'covid-19', 'covid19 = yes']
[65, 'as defined', 'value = yes']
[68, 'defined by', 'value = yes']
[108, 'willing and able to provide written informed consent', 'compliant = yes']
[128, 'provide written informed consent', 'compliant = yes']
[136, 'written informed consent prior to', 'compliant = yes']
[144, 'informed consent', 'compliant = yes']
[153, 'consent prior to', 'compliant = yes']
[161, 'prior to', 'time = before']
[181, 'study procedures', 'connector']
[187, 'procedures', 'feature = procedure']
[202, 'laboratory-confirmed sars-cov-2', 'covid20 = yes | modifier = laboratory']
[213, 'confirmed sars-cov-2 infection', 'covid19 = yes']
[223, 'sars-cov-2 infection as', 'covid19 = yes']
[234, 'infection as determined by', 'infection = yes']
[261, 'pcr or other commercial or public health assay', 'modifier = rtpcr']
[308, 'illness of any duration', 'illness = yes']
[323, 'duration and at least', 'feature = time']
[332, 'and at least one of', 'connector']
[336, 'at least one of the following', 'connector']
[349, 'of the following', 'value = yes']
[356, 'following radiographic', 'feature = xray']
[379, 'infiltrates', 'feature = infiltration']
[402, 'chest x-ray', 'feature = xray']
[429, 'clinical ass', 'connector']
[438, 'assessment', 'feature = assessment']
[449, 'evidence of', 'value = yes']
[496, '94% on room air', 'value = 95% | modifier = on room air']
[500, 'on room air', 'modifier = on room air']
[523, 'mechanical ventilation', 'feature = mechanical ventilation']
[553, 'supplemental oxygen', 'feature = supplement oxygen']
[581, 'defined as', 'value = yes']
[592, 'temperature >=', 'feature = temperature| predicate = >=']
[659, 'documented', 'value = yes']
[670, 'within 48 hours', 'predicate = within 48 hours']
[677, '48 hours', 'time = 48 hours']

[17, 'any other', 'value = yes']
[27, 'clinical trial', 'connector']
[48, 'experimental treatment', 'feature = study drug']
[61, 'treatment for', 'value = yes']
[71, 'for covid-19', 'feature = covid19']
[84, 'concurrent treatment with', 'value = yes']
[87, 'current treatment', 'value = yes']
[95, 'treatment with', 'value = yes']
[116, 'agents with act', 'value = yes']
[188, 'sars-cov-2', 'feature = covid19']
[222, 'prior to', 'time = before']
[231, 'study medication', 'feature = study drug']
[237, 'medication', 'feature = drug']
[268, 'alanine aminotransferase', 'feature = alanine aminotransferase']
[276, 'aminotransferase', 'feature = aminotransferase']
[300, 'aspartate aminotransferase', 'feature = aspartate aminotransferase']
[310, 'aminotransferase', 'feature = aminotransferase']
[331, 'upper limit', 'value = upper limit']
[357, 'stage severe', 'modifier = severe']
[363, 'severe chronic', 'modifier = severe chronic']
[378, 'kidney disease', 'feature =  kidney disease']
[385, 'disease or', 'value = yes']
[396, 'requiring dialysis', 'dialysis = yes']
[427, 'pregnant women', 'gender = women | pregnant = yes']
[436, 'women', 'gender= women']
[445, 'women who are', 'gender= women']
[473, 'immunocompromised patients', 'immune difficiency = yes']
[491, 'patients', 'connector']
[507, 'medication', 'feature = drug']
[523, 'screening', 'connector']
[547, 'by the investigator', 'connector']
[550, 'the investigator', 'connector']
[587, 'the subject', 'connector']
[605, 'unsuitable', 'value = no']
[643, 'treatment', 'connector']

