[11, 'covid-19', 'covid19 = yes']
[20, 'pneumonia', 'feature = pneumonia']
[30, 'defined as', 'value = yes']
[41, 'upper respiratory', 'feature = upper respiratory']
[47, 'respiratory tract', 'feature = respiratory tract']
[65, 'specimen', 'feature = specimen']
[74, 'nasopharyngeal', 'modifier = nasopharyngeal']
[119, 'positive for', 'value = yes']
[128, 'for covid-19', 'covid19 = yes']
[132, 'covid-19', 'covid19 = yes']
[195, 'of covid-19', 'covid19 = yes']
[198, 'covid-19', 'covid19 = yes']
[207, 'pneumonia', 'feature = pneumonia']
[217, 'oxygen saturation', 'feature = oxygen saturation']
[338, 'partial pressure', 'feature = pao2/fio2']
[346, 'pressure', 'feature = pressure']
[410, 'pao2/fio2', 'feature = pao2/fio2']
[445, '>= 18 years', 'age >= 18 years old']
[448, '18 years', 'value = 18 years old']
[457, 'written informed consent', 'compliant = yes']
[465, 'informed consent', 'compliant = yes']
[532, 'patients', 'connector']
[561, 'written informed consent', 'compliant = yes']
[569, 'informed consent', 'compliant = yes']

[18, 'pneumonia', 'feature = pneumonia']
[60, 'uncontrolled', 'compliant = no']
[82, 'infection', 'feature = infection']
[112, 'concomitant', 'feature = concomitant treatment']
[152, 'concomitant', 'feature = concomitant treatment']
[173, 'anticoagula', 'feature = anticoagula']
[232, 'inhibitors', 'feature = inhibitor']
[264, 'inhibitors', 'feature = inhibitor']
[300, 'defined as', 'value = yes']
[311, 'inability to', 'value = no']
[478, 'patients who', 'value = yes']
[500, 'the investigator', 'connector']
[519, 'clinical', 'connector']
[566, 'treatment', 'connector']
[576, 'pregnancy or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[603, 'patient', 'connector']

