[11, 'confirmed sars-cov-2 infection', 'covid19 = yes']
[21, 'sars-cov-2 infection as', 'covid19 = yes']
[32, 'infection as determined by', 'infection = yes']
[59, 'pcr or other commercial or public health assay', 'modifier = rtpcr']
[109, 'any specimen', 'value = yes']
[113, 'specimen', 'feature = specimen']
[122, '48 hours', 'time = 48 hours']
[131, 'prior to', 'time = before']
[140, 'randomization', 'compliant = yes']
[238, 'written informed consent prior to', 'compliant = yes']
[246, 'informed consent', 'compliant = yes']
[255, 'consent prior to', 'compliant = yes']
[263, 'prior to', 'time = before']
[290, 'study procedures', 'connector']
[296, 'procedures', 'feature = procedure']
[318, 'authorized', 'value = yes']
[329, 'representative', 'compliant = yes']
[367, 'to comply with', 'compliant = yes']
[370, 'comply with', 'compliant = yes']
[390, 'study procedures', 'connector']
[396, 'procedures', 'feature = procedure']
[474, 'male or female', 'gender = both']
[497, '18 years of age', 'age = 18 years old']
[513, 'at time of', 'value = yes']
[524, 'enrollment', 'connector']


