[8, '18 years', 'value = 18 years old']
[17, 'male or female', 'gender = both']
[79, 'patients with', 'value = yes']
[104, 'infection', 'feature = infection']

[6, 'allergy to', 'feature = allergic']
[86, 'administration', 'connector']
[138, 'tuberculosis', 'feature = tuberculosis']
[171, 'bacterial', 'feature = bacterial']
[218, 'tuberculosis', 'feature = tuberculosis']
[231, 'infection', 'feature = infection']
[251, 'within the past', 'time = before']
[255, 'in the past', 'time = before']
[276, 'pregnancy', 'feature = pregnant']
[315, 'bacterial infection', 'feature = bacterial infection']
[325, 'infection', 'feature = infection']
[335, 'vaccination', 'feature = vaccination']
[347, 'in the past', 'time = before']
[377, 'vaccination', 'feature = vaccination']
[389, 'during the study period', 'value = yes']
[396, 'the study', 'connector']
[440, 'vaccination', 'feature = vaccination']
[479, 'subjects', 'connector']
[522, 'subjects', 'connector']
[542, 'infection', 'feature = infection']
[565, 'immunodeficiency', 'feature = hiv']
[571, 'deficiency', 'feature = deficiency']
[608, 'subjects', 'connector']
[622, 'less than', 'predicate = <']
[653, 'subjects', 'connector']
[673, 'organ transplant', 'feature = organ transplant']
[679, 'transplantation', 'feature = transplantation']
[696, 'subjects', 'connector']
[722, 'transplantation', 'feature = transplantation']
[739, 'subjects', 'connector']
[754, 'chemotherap', 'feature = chemotherapy']
[768, 'subjects', 'connector']
[790, 'immunodeficiency', 'feature = hiv']
[796, 'deficiency', 'feature = deficiency']
[832, 'less than', 'predicate = <']
[863, 'treatment with', 'value = yes']
[906, 'treatment with', 'value = yes']
[950, 'defined as', 'value = yes']
[1131, 'malignancy', 'feature = cancer']
[1154, 'within the', 'feature = time']
[1289, 'of the following', 'connector']

