[22, 'healthcare', 'connector']
[88, 'healthcare', 'connector']
[131, 'exposure to', 'value = yes']
[158, 'positive', 'value = yes']
[167, 'covid-19 patient', 'covid19 = yes']
[176, 'patients in', 'value = yes']
[185, 'including', 'value = yes']
[245, 'department', 'connector']
[259, 'intensive', 'modifier = intensive']
[294, 'exposure to', 'value = yes']
[312, 'positive', 'value = yes']
[321, 'covid-19 patient', 'covid19 = yes']
[345, '72 hours', 'time = 72 hours']
[408, 'willing and able to', 'value = yes']
[425, 'to comply with', 'compliant = yes']
[428, 'comply with', 'compliant = yes']
[457, 'treatment', 'connector']
[482, 'study procedures', 'connector']
[488, 'procedures', 'feature = procedure']
[499, 'evidence of', 'value = yes']
[539, 'informed consent', 'compliant = yes']
[581, 'the subject', 'connector']
[604, 'acceptable', 'modifier = acceptable']
[615, 'representative', 'compliant = yes']
[673, 'of the study', 'connector']
[676, 'the study', 'connector']
[686, 'prior to', 'time = before']
[730, 'procedures', 'feature = procedure']

[23, 'investigation', 'connector']
[39, 'clinical trial', 'connector']
[63, 'treatment or', 'value = yes']
[90, 'sars-cov-2', 'feature = covid19']
[101, 'infection within', 'value = yes']
[125, 'unwilling to', 'value = no']
[215, 'childbearing', 'feature = childbearing']
[253, 'childbearing', 'feature = childbearing']
[283, 'screening', 'connector']
[306, 'study drug', 'feature = study drug']
[362, 'of study', 'connector']
[365, 'study drug', 'feature = study drug']
[432, 'clinical', 'connector']
[467, 'indication', 'connector']
[487, 'medication', 'feature = drug']
[505, 'prior history of', 'time = before']
[511, 'history of', 'value = yes | time = before']
[616, 'prior history of', 'time = before']
[622, 'history of', 'value = yes | time = before']
[633, 'glucose-6-phosphate dehydrogenase', 'feature = g6pd']
[674, 'deficiency', 'feature = deficiency']
[984, 'corticosteroids', 'feature = corticosteroids']
[1016, 'inhibitors', 'feature = inhibitor']
[1085, 'allergies', 'feature = allergic']
[1113, 'pre-existing', 'time = before']
[1167, 'disease or', 'value = yes']
[1188, 'including', 'value = yes']
[1251, 'uncontrolled', 'compliant = no']
[1271, 'bacterial', 'feature = bacterial']
[1281, 'fungal infection', 'feature = fungal infection']
[1288, 'infection', 'feature = infection']
[1378, 'women who are', 'gender= women']
[1384, 'who are pregnant', 'pregnant = yes']
[1388, 'are pregnant or', 'pregnant = yes']
[1392, 'pregnant or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[1421, 'known hypersensitivity to', 'feature = allergic']
[1451, 'component of the', 'connector']
[1464, 'the study drug', 'feature = study drug']
[1468, 'study drug', 'feature = study drug']
[1488, 'history of', 'value = yes | time = before']
[1524, 'history of', 'value = yes | time = before']
[1586, 'heart failure', 'feature = heart failure']
[1625, 'history of', 'value = yes | time = before']
[1667, 'concomitant', 'feature = concomitant treatment']
[1679, 'medications that', 'value = yes']

