[38, 'included', 'value = yes']
[47, 'male or female', 'gender = both']
[75, 'temperature >=', 'feature = temperature| predicate = >=']
[103, 'temperature >=', 'feature = temperature| predicate = >=']
[137, 'temperature >=', 'feature = temperature| predicate = >=']
[165, 'according to the', 'value = yes']
[202, 'pneumonia diagnosis and treatment', 'pneumonia = yes']
[212, 'diagnosis and', 'connector']
[226, 'treatment', 'connector']
[226, 'treatment sche', 'connector']
[247, 'novel coronavirus infection', 'covid19 = yes']
[253, 'coronavirus infection trial version', 'connector']
[265, 'infection', 'feature = infection']
[275, 'trial version', 'connector']
[293, 'laboratory', 'modifier = laboratory']
[325, 'infection', 'feature = infection']
[335, '2019-ncov', 'feature = covid19']
[373, 'treatment', 'connector']
[387, 'pneumonia', 'feature = pneumonia']
[413, 'novel coronavirus infection', 'covid19 = yes']
[419, 'coronavirus', 'feature = covid19']
[431, 'infection patients', 'value = infection']
[441, 'patients who', 'value = yes']
[450, 'who have', 'value = yes']
[573, 'informed consent form', 'compliant = yes']
[606, 'voluntarily', 'compliant = yes']
[618, 'based on', 'value = yes']
[627, 'the investigator', 'connector']
[631, 'investigator', 'connector']
[655, 'the subject', 'connector']
[714, 'to comply with', 'compliant = yes']
[717, 'comply with', 'compliant = yes']
[757, 'medication', 'feature = drug']

[12, 'diseases', 'feature = disease']
[60, 'coronavirus infection', 'feature = covid19']
[72, 'infection', 'feature = infection']
[82, 'pneumonia', 'feature = pneumonia']
[100, 'tuberculosis', 'feature = tuberculosis']
[113, 'bacterial', 'feature = bacterial']
[126, 'viral pneumonia', 'feature = viral pneumonia']
[132, 'pneumonia', 'feature = pneumonia']
[157, 'coronavirus', 'feature = covid19']
[169, 'pneumonia', 'feature = pneumonia']
[197, 'pneumonia', 'feature = pneumonia']
[207, 'and other', 'value = yes']
[243, 'pneumonia;', 'pneumonia = yes']
[254, 'patients with', 'value = yes']
[268, 'basic diseases', 'feature = diseases']
[274, 'diseases such as', 'value = yes']
[299, 'immunodeficiency', 'feature = hiv']
[305, 'deficiency', 'feature = deficiency']
[333, 'immunodeficiency', 'feature = hiv']
[339, 'deficiency', 'feature = deficiency']
[359, 'congenital', 'feature = congenital']
[370, 'respiratory', 'modifier = respiratory']
[433, 'pneumonia', 'feature = pneumonia']
[448, 'malignant tumor', 'feature = cancer']
[469, 'researchers', 'connector']
[518, 'diseases', 'feature = disease']
[538, 'patients', 'connector']
[548, 'participation in the', 'compliant = yes']
[562, 'in the trial', 'connector']
[603, 'the study in', 'connector']
[613, 'including', 'value = yes']
[641, 'autoimmune disease', 'feature = autoimmune dieseae']
[670, 'kidney disease', 'feature =  kidney disease']
[699, 'neurological', 'modifier = neurological']
[768, 'diseases', 'feature = disease']
[831, 'immunodeficiency', 'feature = hiv']
[837, 'deficiency', 'feature = deficiency']
[858, 'infection', 'feature = infection']
[903, 'organ transplant', 'feature = organ transplant']
[909, 'transplantation', 'feature = transplantation']
[929, 'subjects', 'connector']
[950, 'requiring', 'value = yes']
[966, 'treatment', 'connector']
[976, 'any other', 'value = yes']
[994, 'respiratory disease', 'feature = respiratory disease']
[1014, 'respiratory', 'modifier = respiratory']
[1026, 'bacterial infections', 'feature = bacterial infection']
[1036, 'infections', 'feature = infection']
[1123, 'and other', 'value = yes']
[1133, 'respiratory', 'modifier = respiratory']
[1152, 'that affect', 'value = yes']
[1164, 'clinical trial', 'connector']
[1179, 'evaluation', 'connector']
[1207, 'confirmed patients', 'covid19 = yes']
[1217, 'patients with', 'value = yes']
[1237, 'lung diseases', 'feature = lung disease']
[1242, 'diseases such as', 'value = yes']
[1266, 'interstitial', 'feature = interstitial']
[1279, 'lung disease', 'feature = lung disease']
[1296, 'bronchiectasis', 'feature = bronchiectasis']
[1312, 'patients', 'connector']
[1364, 'coronavirus infection', 'feature = covid19']
[1376, 'infection', 'feature = infection']
[1386, 'pneumonia', 'feature = pneumonia']
[1404, 'mechanical ventilation', 'feature = mechanical ventilation']
[1457, 'treatment', 'connector']
[1468, 'breastfeeding or', 'breastfeeding = yes']
[1485, 'pregnancy test result', 'feature = pregnant']
[1510, 'positive during the', 'value = yes']
[1519, 'during the', 'feature = time']
[1526, 'the screening', 'connector']
[1530, 'screening', 'connector']
[1643, 'medication', 'feature = drug']
[1694, 'screening', 'connector']
[1734, 'who are allergic to', 'feature = allergic']
[1738, 'are allergic', 'feature = allergic']
[1742, 'allergic to', 'feature = allergic']
[1791, 'who are allergic to', 'feature = allergic']
[1795, 'are allergic', 'feature = allergic']
[1799, 'allergic to', 'feature = allergic']
[1825, 'in the past', 'time = before']
[1840, 'those who are', 'connector']
[1866, 'allergic to th', 'feature = allergic']
[1882, 'ingredients', 'value = yes']
[1930, 'drugs; patients who', 'feature = drug | value = yes']
[1937, 'patients who have', 'value = yes']
[1950, 'have participated in', 'value = yes']
[1955, 'participated in other clinical trials', 'compliant = no']
[1977, 'clinical trial', 'connector']
[1993, 'in the past months;', 'time = past months']
[1996, 'the past months', 'time = past months']
[2016, 'the investigator', 'connector']
[2071, 'to participate', 'compliant = yes']
[2074, 'participate', 'compliant = yes']
[2089, 'clinical trial', 'connector']

