[4, '>= 18 years', 'age >= 18 years old']
[7, '18 years old', 'age = 18 years old']
[10, 'years old', 'unit = years old']
[33, 'patient or', 'value = yes']
[85, 'the patient', 'connector']
[89, 'patient is', 'value = yes']
[116, 'department', 'connector']
[175, 'evidence of', 'value = yes']
[184, 'of pneumonia', 'pneumonia = yes']
[187, 'pneumonia', 'feature = pneumonia']
[254, 'at least one of the following', 'connector']
[267, 'of the following', 'value = yes']
[284, 'requirements', 'compliant = yes']
[323, 'pneumonia', 'feature = pneumonia']
[336, 'radiological', 'modifier = immunobiological']
[393, 'respiratory failure', 'feature = respiratory failure']
[428, '48 hours', 'time = 48 hours']
[437, 'laboratory confirm', 'value = yes | modifier = laboratory']
[448, 'confirmed sars-cov-2 infection', 'covid19 = yes']
[469, 'infection by', 'infection = yes']
[576, 'randomization', 'compliant = yes']
[593, 'covid-19', 'covid19 = yes']
[602, 'criteria', 'connector']
[633, 'diagnostic criteria', 'connector']
[644, 'criteria', 'connector']
[722, 'willing and able to', 'value = yes']
[739, 'to comply with', 'compliant = yes']
[742, 'comply with', 'compliant = yes']
[754, 'the study', 'connector']
[772, 'procedures', 'feature = procedure']
[795, 'women of childbearing potential', 'compliant = yes']
[801, 'of childbearing potential', 'childbearing = potential']
[839, 'negative', 'value = no']
[854, 'pregnancy test', 'feature = pregnant']
[876, 'enrollment', 'connector']
[887, 'in the study', 'connector']
[890, 'the study', 'connector']
[940, 'effective contracepti', 'birth control = yes']
[1042, 'abstinence', 'feature = abstinence']
[1053, 'written informed consent', 'compliant = yes']
[1061, 'informed consent', 'compliant = yes']
[1102, 'the patient', 'connector']
[1126, 'informed consent', 'compliant = yes']
[1150, 'informed consent', 'compliant = yes']
[1167, 'from the', 'connector']
[1176, 'legal representative', 'connector']
[1182, 'representative', 'compliant = yes']
[1260, 'the investigator', 'connector']
[1264, 'investigator', 'connector']
[1336, 'participants', 'compliant = yes']
[1382, 'confirmation of', 'value = yes']
[1409, 'informed consent', 'compliant = yes']
[1434, 'documented', 'value = yes']

[15, 'the investigator', 'connector']
[66, '48 hours', 'value = 48 hours']
[95, 'in the study', 'connector']
[98, 'the study', 'connector']
[108, 'presence of', 'value = yes']
[120, 'any of the following', 'value = yes']
[124, 'of the following', 'connector']
[168, 'at the time', 'value = yes']
[171, 'the time of', 'feature = time']
[197, 'in the study', 'connector']
[200, 'the study', 'connector']
[236, 'less than', 'predicate = <']
[268, 'times the upper limit of normal', 'unit = times upper limit']
[274, 'the upper limit', 'value = upper limit']
[278, 'upper limit', 'value = upper limit']
[340, 'treatment with', 'value = yes']
[396, 'treatment', 'connector']
[426, 'corticosteroids', 'feature = corticosteroids']
[554, 'tuberculosis', 'feature = tuberculosis']
[576, 'history of', 'value = yes | time = before']
[587, 'tuberculosis', 'feature = tuberculosis']
[612, 'treatment', 'connector']
[622, 'patients with act', 'value = yes']
[652, 'bacterial', 'feature = bacterial']
[669, 'fungal infections', 'feature = fungal infection']
[676, 'infections', 'feature = infection']
[687, 'participants', 'compliant = yes']
[707, 'the investigator', 'connector']
[754, 'to participate', 'compliant = yes']
[757, 'participate', 'compliant = yes']
[794, 'including', 'value = yes']
[815, 'clinical condition', 'value = yes']
[824, 'conditions', 'value = yes']
[838, 'participants', 'compliant = yes']
[905, 'patients who', 'value = yes']
[972, 'pregnancy', 'feature = pregnant']
[995, 'known hypersensitivity to', 'feature = allergic']

