[4, '>= 18 years', 'age >= 18 years old']
[7, '18 years old', 'age = 18 years old']
[10, 'years old', 'unit = years old']
[69, 'informed consent', 'compliant = yes']
[199, 'subjects', 'connector']
[230, 'criteria', 'connector']
[339, 'covid-19', 'covid19 = yes']
[379, 'positive for', 'value = yes']
[495, 'of covid-19', 'covid19 = yes']
[498, 'covid-19', 'covid19 = yes']
[708, 'medication', 'feature = drug']
[792, 'willing to', 'value = yes']
[921, 'willing to', 'value = yes']
[952, 'symptoms and', 'feature = symptoms']
[977, 'of covid-19', 'covid19 = yes']
[980, 'covid-19', 'covid19 = yes']
[1106, 'patients', 'connector']
[1119, 'positive for', 'value = yes']
[1128, 'for sars-cov-2', 'covid19 = yes']
[1129, 'or sars-cov-2', 'covid19 = yes']
[1143, 'patients', 'connector']
[1152, 'admitted to', 'value = yes']
[1253, 'of the following', 'value = yes']
[1317, 'including', 'value = yes']
[1346, 'conditions', 'feature = disease']
[1381, 'hypertension', 'feature = hypertension']
[1526, 'infectious', 'feature = infection']
[1607, 'clinical', 'connector']
[1652, 'during the', 'feature = time']
[1663, 'covid-19', 'covid19 = yes']
[1684, 'fever cough', 'feature = fever | feature = cough']
[1737, 'willing to', 'value = yes']
[1796, 'patients', 'connector']
[1845, 'medication', 'feature = drug']
[1878, 'clinically', 'connector']

[53, 'allergy to', 'feature = allergic']
[64, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[83, 'pregnant or lactating', 'pregnant = yes | breastfeeding = yes']
[92, 'or lactating', 'breastfeeding = yes']
[105, 'or positive pregnancy test', 'pregnant = yes']
[108, 'positive pregnancy test', 'pregnant = yes']
[117, 'pregnancy', 'feature = pregnant']
[146, 'treatment', 'connector']
[185, 'days prior to', 'time = past days']
[190, 'prior to', 'time = before']
[199, 'screening', 'connector']
[209, 'evaluation', 'connector']
[268, 'enrollment', 'compliant = yes']
[432, 'history of', 'value = yes | time = before']
[443, 'retinal disease', 'feature = retinal disease']
[459, 'including', 'value = yes']
[508, 'degeneration', 'feature = degeneration']
[528, 'any of the following', 'value = yes']
[532, 'of the following', 'connector']
[549, 'medications that', 'value = yes']
[663, 'history of', 'value = yes | time = before']
[674, 'interstitial', 'feature = interstitial']
[687, 'lung disease', 'feature = lung disease']
[692, 'disease or', 'value = yes']
[778, 'patients with', 'value = yes']
[949, 'the patient', 'connector']
[953, 'patient', 'connector']
[979, 'patients with serious', 'modifier = serious']
[988, 'with serious', 'value = serious']
[1114, 'medication', 'feature = drug']
[1125, 'including', 'value = yes']
[1180, 'autoimmune disease', 'feature = autoimmune dieseae']
[1199, 'cardiovascular disease', 'feature = cardiovascular disease']
[1205, 'vascular disease', 'feature = vascular disease']
[1222, 'patients who have', 'value = yes']
[1349, 'study participation', 'compliant = yes']
[1355, 'participation patient', 'compliant = yes']
[1369, 'patients re', 'value = yes']
[1539, 'the study', 'connector']
[1549, 'treatment', 'connector']
[1570, 'evidence of', 'value = yes']
[1612, 'including', 'value = yes']
[1622, 'any of the following', 'value = yes']
[1626, 'of the following', 'connector']
[1648, 'ventricular', 'feature = ventricular']
[1660, 'ejection fraction', 'feature = ejection fraction']
[1851, 'clinically', 'connector']
[1862, 'significant', 'value = yes']
[1874, 'uncontrolled', 'compliant = no']
[1887, 'arrhythmias', 'feature = arrhythmias']
[1909, 'subjects', 'connector']
[1954, 'history of', 'value = yes | time = before']
[1990, 'including', 'value = yes']
[2000, 'myocardial infarction', 'feature = heart attack']
[2011, 'infarction', 'feature = heart attack']
[2026, 'unstable angina', 'angina = no']
[2075, 'within months', 'time = months']
[2089, 'prior to', 'time = before']
[2098, 'enrollment', 'compliant = yes']
[2140, 'heart failure', 'feature = heart failure']

