[22, 'the time of', 'feature = time']
[79, 'confirmed', 'value = yes']
[89, 'diagnosis of', 'value = yes']
[216, 'documented', 'value = yes']
[227, 'diagnosis of', 'value = yes']
[237, 'of covid-19', 'covid19 = yes']
[240, 'covid-19', 'covid19 = yes']
[288, 'laboratory', 'modifier = laboratory']
[311, 'of covid-19', 'covid19 = yes']
[314, 'covid-19', 'covid19 = yes']
[339, 'radiological', 'modifier = immunobiological']
[358, 'of pneumonia', 'pneumonia = yes']
[361, 'pneumonia', 'feature = pneumonia']
[409, 'patients with', 'value = yes']
[423, 'pneumonia', 'feature = pneumonia']
[433, 'confirmed by', 'value = yes']
[446, 'chest imaging', 'feature = xray']
[467, 'oxygen saturation', 'feature = oxygen saturation']
[530, 'ambient air', 'modifier = ambient air']
[558, 'partial pressure', 'feature = pao2/fio2']
[566, 'pressure', 'feature = pressure']
[764, 'including', 'value = yes']
[898, 'defined by', 'value = yes']
[923, 'laboratory', 'modifier = laboratory']
[1100, 'patients with', 'value = yes']
[1298, 'willingness', 'compliant = yes']
[1314, 'ability to', 'value = yes']
[1322, 'to comply with', 'compliant = yes']
[1325, 'comply with', 'compliant = yes']
[1337, 'the study', 'connector']
[1347, 'requirements', 'compliant = yes']
[1381, 'informed consent', 'compliant = yes']
[1414, 'the patient', 'connector']
[1476, 'prior to', 'time = before']
[1588, 'informed consent', 'compliant = yes']
[1611, 'women of childbearing potential', 'compliant = yes']
[1617, 'of childbearing potential', 'childbearing = potential']
[1673, 'negative', 'value = no']
[1688, 'pregnancy test', 'feature = pregnant']
[1710, '72 hours', 'time = 72 hours']
[1719, 'prior to', 'time = before']
[1734, 'treatment', 'connector']
[1750, 'positive', 'value = yes']
[1778, 'confirmed by', 'value = yes']
[1797, 'pregnancy test', 'feature = pregnant']
[1817, 'women of childbearing potential', 'compliant = yes']
[1823, 'of childbearing potential', 'childbearing = potential']
[1858, 'patients', 'connector']
[1867, 'must agree', 'compliant = yes']
[1901, 'effective contracepti', 'birth control = yes']
[1911, 'contraception', 'feature = birth control']
[1960, 'participati', 'compliant = yes']
[2001, 'completion of', 'value = yes']

[19, 'patient', 'connector']
[47, 'therapy with', 'value = yes']
[117, 'patient', 'connector']
[145, 'therapy with', 'value = yes']
[188, 'contraindication to', 'feature = drug interaction']
[194, 'indication', 'connector']
[208, 'treatment with', 'value = yes']
[297, 'including', 'value = yes']
[307, 'known hypersensitivity to', 'feature = allergic']
[346, 'study drug', 'feature = study drug']
[424, 'patient', 'connector']
[446, 'intolerance', 'value = no']
[558, 'patient', 'connector']
[577, 'autoimmune disease', 'feature = autoimmune dieseae']
[623, 'treatment', 'connector']
[633, 'in the past months', 'time = past months']
[636, 'the past months', 'time = past months']
[652, 'before the', 'time = before']
[699, 'history of', 'value = yes | time = before']
[710, 'clinically', 'connector']
[728, 'autoimmune disease', 'feature = autoimmune dieseae']
[739, 'disease or', 'value = yes']
[846, 'immunosuppressive agents', 'feature = immunosuppressive']
[876, 'patients with', 'value = yes']
[969, 'patients', 'connector']
[1082, 'the study', 'connector']
[1092, 'patients with', 'value = yes']
[1198, 'the study', 'connector']
[1213, 'patients', 'connector']
[1234, 'corticosteroids', 'feature = corticosteroids']
[1284, 'sars-cov-2', 'feature = covid19']
[1315, 'patient', 'connector']
[1343, 'one of the following', 'connector']
[1347, 'of the following', 'connector']
[1374, 'treatment', 'connector']
[1384, 'during the study', 'connector']
[1391, 'the study', 'connector']
[1401, 'treatment', 'connector']
[1770, 'significant', 'value = yes']
[1782, 'cardiovascular disease', 'feature = cardiovascular disease']
[1788, 'vascular disease', 'feature = vascular disease']
[1876, 'myocardial infarction', 'feature = heart attack']
[1887, 'infarction within', 'heart attack = yes']
[1898, 'within months', 'time = months']
[1912, 'prior to the', 'time = before']
[1956, 'arrhythmias', 'feature = arrhythmias']
[1971, 'unstable angina', 'angina = no']
[1998, 'ventricular', 'feature = ventricular']
[2010, 'ejection fraction', 'feature = ejection fraction']
[2042, 'patients with known', 'value = yes']
[2071, 'artery disease', 'feature = heart disease']
[2097, 'heart failure', 'feature = heart failure']
[2291, 'patient', 'connector']
[2338, 'defined as', 'value = yes']
[2356, 'positive', 'value = yes']
[2404, 'at screening', 'value = yes']
[2407, 'screening', 'connector']
[2434, 'patients', 'connector']
[2443, 'positive', 'value = yes']
[2534, 'at screening', 'value = yes']
[2537, 'screening or', 'connector']
[2556, 'immunodeficiency', 'feature = hiv']
[2562, 'deficiency', 'feature = deficiency']
[2583, 'infection', 'feature = infection']
[2644, 'transplantation', 'feature = transplantation']
[2669, 'organ transplant', 'feature = organ transplant']
[2686, 'in the past', 'time = before']
[2725, 'evidence of', 'value = yes']
[2741, 'condition', 'value = yes']
[2762, 'laboratory', 'modifier = laboratory']
[2830, 'interfere with the', 'value = no']
[2845, 'the subject', 'connector']
[2859, 'participation', 'compliant = yes']
[2886, 'duration of the', 'feature = time']
[2925, 'best interest', 'connector']
[2942, 'the subject', 'connector']
[2954, 'to participate in th', 'compliant = yes']
[2957, 'participate', 'compliant = yes']
[3115, 'requirement', 'value = yes']
[3145, 'pregnant or breastfeeding', 'pregnant = yes | breastfeeding = yes']
[3171, 'patient', 'connector']
[3213, 'within the', 'feature = time']
[3234, 'duration of the', 'feature = time']
[3270, 'the screening', 'connector']
[3274, 'screening', 'connector']
[3325, 'of study', 'connector']
[3328, 'study drug', 'feature = study drug']

