[4, 'patients who', 'value = yes']
[17, 'were diagnosed', 'value = yes']
[22, 'diagnosed with', 'value = yes']
[60, 'including', 'value = yes']
[110, 'new coronavirus', 'covid19 = yes']
[114, 'coronavirus', 'feature = covid19']
[126, 'pneumonia', 'feature = pneumonia']
[158, 'patients', 'connector']
[170, 'authorized', 'value = yes']
[208, 'to participate in', 'compliant = yes']
[211, 'participate in th', 'compliant = yes']
[241, 'signed informed consent', 'compliant = yes']
[248, 'informed consent', 'compliant = yes']

[18, 'history of', 'value = yes | time = before']
[29, 'bradyarrhythmia', 'feature = bradyarrhythmia']
[34, 'arrhythmia', 'feature = arrhythmias']
[48, 'atrioventricular', 'feature = atrioventricular']
[53, 'ventricular', 'feature = ventricular']
[72, 'patients who are', 'value = yes']
[85, 'are participating in other', 'compliant = no']
[89, 'participating in other', 'compliant = no']
[117, 'clinical trial', 'connector']
[126, 'trials; pregnant', 'pregnant = yes']
[134, 'pregnant or lactating women', 'gender = women | pregnant = yes | breastfeeding = yes']
[143, 'or lactating', 'breastfeeding = yes']
[146, 'lactating women', 'gender = women | breastfeeding = yes']
[156, 'women', 'gender= women']
[167, 'ast>', 'feature = AST | predicate = >']
[203, 'less than', 'predicate = <']
[226, 'diagnosis of', 'value = yes']
[256, 'related diseases', 'value = yes']
[264, 'diseases', 'feature = disease']
[307, 'immunomodulatory drugs', 'feature = immunosuppressive']
[331, 'patients with act', 'value = yes']
[352, 'pulmonary', 'modifier = lung']
[362, 'tuberculosis', 'feature = tuberculosis']
[389, 'bacterial', 'feature = bacterial']
[403, 'fungal infections', 'feature = fungal infection']
[410, 'infections', 'feature = infection']

