[6, 'patients', 'connector']
[15, 'admitted to', 'value = yes']
[49, 'within 48 hours', 'predicate = within 48 hours']
[56, '48 hours', 'time = 48 hours']
[143, 'lower respiratory', 'modifier = lower respiratory']
[149, 'respiratory tract', 'feature = respiratory tract']
[167, 'infection', 'feature = infection']
[184, 'radiological', 'modifier = immunobiological']
[197, 'evidence of', 'value = yes']
[236, 'patients with', 'value = yes']
[263, 'radiological', 'modifier = immunobiological']
[284, 'evidence of', 'value = yes']

[22, 'pneumonia', 'feature = pneumonia']
[32, 'prior to', 'time = before']
[68, 'patient', 'connector']
[103, 'within the last', 'time = before']
[114, 'last 30 days', 'time = last 30 days']
[237, 'within the', 'feature = time']
[281, 'the patient', 'connector']
[285, 'patient', 'connector']
[375, 'treatment', 'connector']
[394, 'participation in this', 'compliant = yes']
[422, 'within the last', 'time = before']
[542, 'the study', 'connector']

