[7, 'informed consent', 'compliant = yes']
[24, 'negative', 'value = no']
[33, 'pregnancy test', 'feature = pregnant']
[57, 'covid-19', 'covid19 = yes']
[66, 'confirmed by', 'value = yes']
[92, 'respiratory', 'modifier = respiratory']
[118, 'covid-19', 'covid19 = yes']
[135, 'defined as', 'value = yes']
[150, 'from the', 'connector']
[303, 'mechanical ventilation', 'feature = mechanical ventilation']

[33, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[52, 'history of', 'value = yes | time = before']
[72, 'administration of', 'value = yes']
[102, 'or hydroxychloroquine', 'feature = hydroxychloroquine']
[105, 'hydroxychloroquine', 'feature = hydroxychloroquine']
[124, 'within month', 'time = months']
[183, 'history of', 'value = yes | time = before']
[191, 'of chronic', 'value = chronic']
[202, 'hepatic disease', 'feature = liver disease']
[232, 'history of', 'value = yes | time = before']
[240, 'of chronic', 'value = chronic']
[251, 'renal disease', 'feature = kidney disease']
[269, 'less than', 'predicate = <']

