[7, '>= 18 years', 'age >= 18 years old']
[10, '18 years of age', 'age = 18 years old']
[35, 'from the', 'connector']
[40, 'the patient', 'connector']
[135, 'documented', 'value = yes']
[179, 'defined as', 'value = yes']
[218, 'clinical', 'connector']
[273, 'positive', 'value = yes']
[309, 'infection', 'feature = infection']
[332, 'evidence of', 'value = yes']
[344, 'infiltrates', 'feature = infiltration']

[3, 'current use of', 'value = yes']
[18, 'invasive mechanical ventilation', 'feature = invasive ventilation']
[27, 'mechanical ventilation', 'feature = mechanical ventilation']
[38, 'ventilation patients', 'feature = mechanical ventilation']
[50, 'patients re', 'value = yes']
[73, 'invasive mechanical ventilation', 'feature = invasive ventilation']
[82, 'mechanical ventilation', 'feature = mechanical ventilation']
[137, 'concurrent', 'value = yes']
[140, 'current use of', 'value = yes']
[180, 'medications', 'feature = drug']
[253, 'inhibitor', 'feature = inhibitor']
[269, 'history of', 'value = yes | time = before']
[312, 'patients who are', 'value = yes']
[344, 'considered', 'value = yes']
[418, 'concurrent', 'value = yes']
[429, 'enrollment', 'compliant = yes']
[443, 'this study pa', 'connector']
[454, 'patients', 'connector']
[482, 'an investigational', 'feature = study drug']
[485, 'investigation', 'connector']
[535, 'clinical', 'connector']
[559, 'diagnosis of', 'value = yes']
[588, 'disease or', 'value = yes']
[664, 'times the upper limit of normal', 'unit = times upper limit']
[670, 'the upper limit', 'value = upper limit']
[674, 'upper limit', 'value = upper limit']
[788, 'therapy with', 'value = yes']
[810, 'immunosuppressive', 'feature = immunosuppressive']
[834, 'history of', 'value = yes | time = before']
[857, 'transplantation', 'feature = transplantation']
[882, 'organ transplant', 'feature = organ transplant']
[905, 'history of', 'value = yes | time = before']
[945, 'history of', 'value = yes | time = before']
[970, 'tuberculosis', 'feature = tuberculosis']
[983, 'infection', 'feature = infection']
[1024, 'history of', 'value = yes | time = before']
[1035, 'gastrointestinal', 'feature = digestive']
[1095, 'organ failure', 'feature = organ failure']
[1148, 'any other', 'value = yes']
[1184, 'infection', 'feature = infection']
[1211, 'pregnant', 'feature = pregnant']
[1220, 'patients', 'connector']
[1229, 'patients who are', 'value = yes']
[1290, 'medications', 'feature = drug']
[1506, 'patients', 'connector']
[1587, 'one of the following', 'connector']
[1591, 'of the following', 'connector']
[1695, 'heart failure', 'feature = heart failure']
[1722, 'within the past', 'time = before']
[1726, 'in the past', 'time = before']
[1748, 'history of', 'value = yes | time = before']
[1781, 'intervention', 'connector']
[1798, 'history of', 'value = yes | time = before']
[1851, 'diagnosis of', 'value = yes']
[1864, 'pulmonary', 'modifier = lung']
[1874, 'hypertension', 'feature = hypertension']
[1896, 'requirement', 'value = yes']
[1928, 'diagnosis of', 'value = yes']
[1941, 'interstitial', 'feature = interstitial']
[1954, 'lung disease', 'feature = lung disease']
[1993, 'obstructive', 'modifier = obstructive']
[2005, 'pulmonary disease', 'feature = lung disease']
[2041, 'within the past', 'time = before']
[2045, 'in the past', 'time = before']
[2115, 'history of', 'value = yes | time = before']
[2153, 'history of', 'value = yes | time = before']
[2194, 'history of', 'value = yes | time = before']
[2250, 'treatment', 'connector']
[2291, 'history of', 'value = yes | time = before']
[2312, 'immunodeficiency', 'feature = hiv']
[2318, 'deficiency', 'feature = deficiency']
[2339, 'renal disease', 'feature = kidney disease']
[2358, 'requiring', 'value = yes']
[2414, 'patients', 'connector']

